Year,Annee,ISO,Jurisdiction,Juridiction,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Area,Superficie
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pine,Pin,Provincial land,Terres provinciales,9,9
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Spruce,epinette,Provincial land,Terres provinciales,1832,1832
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Pine,Pin,Private land,Terres privees,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce,epinette,Private land,Terres privees,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Fir,Sapin,Provincial land,Terres provinciales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Pine,Pin,Provincial land,Terres provinciales,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce,epinette,Provincial land,Terres provinciales,204,204
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,NU,Nunavut,Nunavut,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,NU,Nunavut,Nunavut,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,NU,Nunavut,Nunavut,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,NU,Nunavut,Nunavut,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,NU,Nunavut,Nunavut,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,NU,Nunavut,Nunavut,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,NU,Nunavut,Nunavut,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,ON,Ontario,Ontario,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,ON,Ontario,Ontario,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,ON,Ontario,Ontario,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,ON,Ontario,Ontario,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,0,0
2000,2000,ON,Ontario,Ontario,Pine,Pin,Private land,Terres privees,0,0
2000,2000,ON,Ontario,Ontario,Spruce,epinette,Private land,Terres privees,0,0
2000,2000,ON,Ontario,Ontario,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,ON,Ontario,Ontario,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,ON,Ontario,Ontario,Fir,Sapin,Provincial land,Terres provinciales,0,0
2000,2000,ON,Ontario,Ontario,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,2279,2279
2000,2000,ON,Ontario,Ontario,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,5213,5213
2000,2000,ON,Ontario,Ontario,Pine,Pin,Provincial land,Terres provinciales,40256,40256
2000,2000,ON,Ontario,Ontario,Spruce,epinette,Provincial land,Terres provinciales,44816,44816
2000,2000,ON,Ontario,Ontario,Unspecified,Indeterminee,Provincial land,Terres provinciales,1100,1100
