Year,Annee,ISO,Jurisdiction,Juridiction,Tenure-En,Tenure-Fr,Application-Method,Methode-d'application,Area,Superficie
2001,2001,MB,Manitoba,Manitoba,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,MB,Manitoba,Manitoba,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,MB,Manitoba,Manitoba,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Aerial,Aerien,956,956
2001,2001,MB,Manitoba,Manitoba,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,MB,Manitoba,Manitoba,Private land,Terres privees,Ground,Sol,0,0
2001,2001,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,MB,Manitoba,Manitoba,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Ground,Sol,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privees,Ground,Sol,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Federal land,Terres federales,Ground,Sol,0,0
