Year,ISO,Jurisdiction,Species group,Tenure (En),Volume (cubic metres) (En),Data qualifier
1992,NL,Newfoundland and Labrador,Softwoods,Provincial land,1145000,a
1992,NL,Newfoundland and Labrador,Softwoods,Private land,1835000,a
1992,NL,Newfoundland and Labrador,Hardwoods,Provincial land,0,u
1992,NL,Newfoundland and Labrador,Hardwoods,Private land,0,u
1992,NL,Newfoundland and Labrador,Unspecified,Provincial land,0,u
1992,NL,Newfoundland and Labrador,Unspecified,Private land,0,u
1992,NL,Newfoundland and Labrador,Hardwoods,Federal land,0,u
1992,NL,Newfoundland and Labrador,Softwoods,Federal land,0,u
1992,NL,Newfoundland and Labrador,Unspecified,Federal land,0,u
1992,NL,Newfoundland and Labrador,Unspecified,Federal land,7300,E
1992,NS,Nova Scotia,Softwoods,Provincial land,850000,a
1992,NS,Nova Scotia,Softwoods,Private land,2900000,a
1992,NS,Nova Scotia,Hardwoods,Provincial land,500000,a
1992,NS,Nova Scotia,Hardwoods,Private land,1000000,a
1992,NS,Nova Scotia,Unspecified,Provincial land,0,u
1992,NS,Nova Scotia,Unspecified,Private land,0,u
1992,NS,Nova Scotia,Hardwoods,Federal land,0,u
1992,NS,Nova Scotia,Softwoods,Federal land,0,u
1992,NS,Nova Scotia,Unspecified,Federal land,0,u
1992,NS,Nova Scotia,Unspecified,Federal land,25000,E
1992,NT,Northwest Territories,Softwoods,Provincial land,0,n
1992,NT,Northwest Territories,Softwoods,Private land,0,n
1992,NT,Northwest Territories,Hardwoods,Provincial land,0,n
1992,NT,Northwest Territories,Hardwoods,Private land,0,n
1992,NT,Northwest Territories,Unspecified,Provincial land,0,u
1992,NT,Northwest Territories,Unspecified,Private land,0,u
1992,NT,Northwest Territories,Hardwoods,Federal land,0,n
1992,NT,Northwest Territories,Softwoods,Federal land,0,n
1992,NT,Northwest Territories,Unspecified,Federal land,0,u
1992,NU,Nunavut,Hardwoods,Federal land,0,u
1992,NU,Nunavut,Softwoods,Federal land,0,u
1992,NU,Nunavut,Unspecified,Federal land,0,u
1992,ON,Ontario,Unspecified,Private land,0,u
1992,ON,Ontario,Hardwoods,Federal land,0,u
1992,ON,Ontario,Softwoods,Federal land,0,u
1992,ON,Ontario,Unspecified,Federal land,0,u
1992,ON,Ontario,Unspecified,Federal land,1075000,E
1992,ON,Ontario,Hardwoods,Private land,597333,E
1992,ON,Ontario,Softwoods,Private land,3000333,E
1992,ON,Ontario,Softwoods,Provincial land,26014000,E
1992,ON,Ontario,Hardwoods,Provincial land,15268000,E
1992,PE,Prince Edward Island,Softwoods,Provincial land,25300,a
1992,PE,Prince Edward Island,Softwoods,Private land,224700,a
1992,PE,Prince Edward Island,Hardwoods,Provincial land,12900,a
1992,PE,Prince Edward Island,Hardwoods,Private land,177100,a
1992,PE,Prince Edward Island,Unspecified,Provincial land,0,u
1992,PE,Prince Edward Island,Unspecified,Private land,0,u
1992,PE,Prince Edward Island,Hardwoods,Federal land,0,u
1992,PE,Prince Edward Island,Softwoods,Federal land,0,u
1992,PE,Prince Edward Island,Unspecified,Federal land,0,u
1992,PE,Prince Edward Island,Unspecified,Federal land,1100,E
1992,QC,Quebec,Softwoods,Provincial land,31166400,a
1992,QC,Quebec,Softwoods,Private land,5336100,a
1992,QC,Quebec,Hardwoods,Provincial land,11325300,a
1992,QC,Quebec,Hardwoods,Private land,8183200,a
1992,QC,Quebec,Unspecified,Provincial land,0,u
1992,QC,Quebec,Unspecified,Private land,0,u
