Year,Jurisdiction,Sector,Employees
2014,British Columbia,Wood product manufacturing,26320
2014,Manitoba,Forestry and logging,
2014,Manitoba,Paper manufacturing,1008
2014,Manitoba,Support activities for forestry,
2014,Manitoba,Wood product manufacturing,2342
2014,New Brunswick,Forestry and logging,1931
2014,New Brunswick,Paper manufacturing,2570
2014,New Brunswick,Support activities for forestry,686
2014,New Brunswick,Wood product manufacturing,3992
2014,Newfoundland and Labrador,Forestry and logging,
2014,Newfoundland and Labrador,Paper manufacturing,
2014,Newfoundland and Labrador,Support activities for forestry,
2014,Newfoundland and Labrador,Wood product manufacturing,381
2014,Northwest Territories,Forestry and logging,
2014,Northwest Territories,Paper manufacturing,
2014,Northwest Territories,Support activities for forestry,
2014,Northwest Territories,Wood product manufacturing,
2014,Nova Scotia,Forestry and logging,702
2014,Nova Scotia,Paper manufacturing,1174
2014,Nova Scotia,Support activities for forestry,245
2014,Nova Scotia,Wood product manufacturing,1965
2014,Nunavut,Forestry and logging,
2014,Nunavut,Paper manufacturing,
2014,Nunavut,Support activities for forestry,
2014,Nunavut,Wood product manufacturing,
2014,Ontario,Forestry and logging,3066
2014,Ontario,Paper manufacturing,16712
2014,Ontario,Support activities for forestry,1640
2014,Ontario,Wood product manufacturing,16435
2014,Prince Edward Island,Forestry and logging,
2014,Prince Edward Island,Paper manufacturing,
2014,Prince Edward Island,Support activities for forestry,17
2014,Prince Edward Island,Wood product manufacturing,111
2014,Quebec,Forestry and logging,6003
2014,Quebec,Paper manufacturing,22692
2014,Quebec,Support activities for forestry,3197
2014,Quebec,Wood product manufacturing,28408
2014,Saskatchewan,Forestry and logging,
2014,Saskatchewan,Paper manufacturing,
2014,Saskatchewan,Support activities for forestry,
2014,Saskatchewan,Wood product manufacturing,1868
2014,Yukon,Forestry and logging,
2014,Yukon,Paper manufacturing,
2014,Yukon,Support activities for forestry,
2014,Yukon,Wood product manufacturing,
2015,Canada,Forestry and logging,27813
2015,Canada,Paper manufacturing,55642
2015,Canada,Support activities for forestry,12295
2015,Canada,Wood product manufacturing,93030
2015,Alberta,Forestry and logging,2418
2015,Alberta,Paper manufacturing,3393
2015,Alberta,Support activities for forestry,1222
2015,Alberta,Wood product manufacturing,10394
2015,British Columbia,Forestry and logging,12396
2015,British Columbia,Paper manufacturing,8417
2015,British Columbia,Support activities for forestry,4603
2015,British Columbia,Wood product manufacturing,26377
2015,Manitoba,Forestry and logging,
2015,Manitoba,Paper manufacturing,1066
2015,Manitoba,Support activities for forestry,
2015,Manitoba,Wood product manufacturing,2308
2015,New Brunswick,Forestry and logging,2072
2015,New Brunswick,Paper manufacturing,2582
2015,New Brunswick,Support activities for forestry,685
2015,New Brunswick,Wood product manufacturing,4314
2015,Newfoundland and Labrador,Forestry and logging,388
2015,Newfoundland and Labrador,Paper manufacturing,
2015,Newfoundland and Labrador,Support activities for forestry,331
2015,Newfoundland and Labrador,Wood product manufacturing,373
2015,Northwest Territories,Forestry and logging,
2015,Northwest Territories,Paper manufacturing,
2015,Northwest Territories,Support activities for forestry,
2015,Northwest Territories,Wood product manufacturing,
2015,Nova Scotia,Forestry and logging,708
2015,Nova Scotia,Paper manufacturing,1035
2015,Nova Scotia,Support activities for forestry,
2015,Nova Scotia,Wood product manufacturing,1837
2015,Nunavut,Forestry and logging,
2015,Nunavut,Paper manufacturing,
2015,Nunavut,Support activities for forestry,
2015,Nunavut,Wood product manufacturing,
2015,Ontario,Forestry and logging,3165
2015,Ontario,Paper manufacturing,16424
2015,Ontario,Support activities for forestry,1723
2015,Ontario,Wood product manufacturing,16427
2015,Prince Edward Island,Forestry and logging,
2015,Prince Edward Island,Paper manufacturing,
2015,Prince Edward Island,Support activities for forestry,21
2015,Prince Edward Island,Wood product manufacturing,101
2015,Quebec,Forestry and logging,5944
2015,Quebec,Paper manufacturing,21813
2015,Quebec,Support activities for forestry,3243
2015,Quebec,Wood product manufacturing,29302
2015,Saskatchewan,Forestry and logging,
2015,Saskatchewan,Paper manufacturing,
2015,Saskatchewan,Support activities for forestry,
2015,Saskatchewan,Wood product manufacturing,1552
2015,Yukon,Forestry and logging,
2015,Yukon,Paper manufacturing,
2015,Yukon,Support activities for forestry,
2015,Yukon,Wood product manufacturing,
2016,Canada,Forestry and logging,27308
2016,Canada,Paper manufacturing,53178
2016,Canada,Support activities for forestry,12551
2016,Canada,Wood product manufacturing,93530
2016,Alberta,Forestry and logging,2306
2016,Alberta,Paper manufacturing,2563
2016,Alberta,Support activities for forestry,978
2016,Alberta,Wood product manufacturing,9768
2016,British Columbia,Forestry and logging,11935
2016,British Columbia,Paper manufacturing,7837
2016,British Columbia,Support activities for forestry,5001
2016,British Columbia,Wood product manufacturing,26943
2016,Manitoba,Forestry and logging,
2016,Manitoba,Paper manufacturing,1094
2016,Manitoba,Support activities for forestry,
2016,Manitoba,Wood product manufacturing,2392
2016,New Brunswick,Forestry and logging,2094
2016,New Brunswick,Paper manufacturing,2688
2016,New Brunswick,Support activities for forestry,651
2016,New Brunswick,Wood product manufacturing,4560
2016,Newfoundland and Labrador,Forestry and logging,
2016,Newfoundland and Labrador,Paper manufacturing,
2016,Newfoundland and Labrador,Support activities for forestry,
2016,Newfoundland and Labrador,Wood product manufacturing,398
2016,Northwest Territories,Forestry and logging,
2016,Northwest Territories,Paper manufacturing,
2016,Northwest Territories,Support activities for forestry,
2016,Northwest Territories,Wood product manufacturing,
2016,Nova Scotia,Forestry and logging,
2016,Nova Scotia,Paper manufacturing,956
2016,Nova Scotia,Support activities for forestry,
2016,Nova Scotia,Wood product manufacturing,1887
2016,Nunavut,Forestry and logging,
2016,Nunavut,Paper manufacturing,
2016,Nunavut,Support activities for forestry,
2016,Nunavut,Wood product manufacturing,
2016,Ontario,Forestry and logging,3296
2016,Ontario,Paper manufacturing,16704
2016,Ontario,Support activities for forestry,1646
2016,Ontario,Wood product manufacturing,16620
2016,Prince Edward Island,Forestry and logging,
2016,Prince Edward Island,Paper manufacturing,
2016,Prince Edward Island,Support activities for forestry,22
2016,Prince Edward Island,Wood product manufacturing,114
2016,Quebec,Forestry and logging,5987
2016,Quebec,Paper manufacturing,20412
2016,Quebec,Support activities for forestry,3421
2016,Quebec,Wood product manufacturing,29209
2016,Saskatchewan,Forestry and logging,
2016,Saskatchewan,Paper manufacturing,
2016,Saskatchewan,Support activities for forestry,
2016,Saskatchewan,Wood product manufacturing,1601
2016,Yukon,Forestry and logging,
2016,Yukon,Paper manufacturing,
2016,Yukon,Support activities for forestry,
2016,Yukon,Wood product manufacturing,
2017,Canada,Forestry and logging,27129
2017,Canada,Paper manufacturing,54108
2017,Canada,Support activities for forestry,12520
2017,Canada,Wood product manufacturing,94330
2017,Alberta,Forestry and logging,2543
2017,Alberta,Paper manufacturing,2152
2017,Alberta,Support activities for forestry,977
2017,Alberta,Wood product manufacturing,9348
2017,British Columbia,Forestry and logging,12056
2017,British Columbia,Paper manufacturing,7912
2017,British Columbia,Support activities for forestry,5350
2017,British Columbia,Wood product manufacturing,27117
2017,Manitoba,Forestry and logging,
2017,Manitoba,Paper manufacturing,1114
2017,Manitoba,Support activities for forestry,73
2017,Manitoba,Wood product manufacturing,2010
2017,New Brunswick,Forestry and logging,1953
2017,New Brunswick,Paper manufacturing,2677
2017,New Brunswick,Support activities for forestry,632
2017,New Brunswick,Wood product manufacturing,4701
2017,Newfoundland and Labrador,Forestry and logging,
2017,Newfoundland and Labrador,Paper manufacturing,
2017,Newfoundland and Labrador,Support activities for forestry,165
2017,Newfoundland and Labrador,Wood product manufacturing,404
2017,Northwest Territories,Forestry and logging,
2017,Northwest Territories,Paper manufacturing,
2017,Northwest Territories,Support activities for forestry,
2017,Northwest Territories,Wood product manufacturing,
2017,Nova Scotia,Forestry and logging,608
2017,Nova Scotia,Paper manufacturing,1068
2017,Nova Scotia,Support activities for forestry,306
2017,Nova Scotia,Wood product manufacturing,1795
2017,Nunavut,Forestry and logging,
2017,Nunavut,Paper manufacturing,
2017,Nunavut,Support activities for forestry,
2017,Nunavut,Wood product manufacturing,
2017,Ontario,Forestry and logging,3155
2017,Ontario,Paper manufacturing,17160
2017,Ontario,Support activities for forestry,1440
2017,Ontario,Wood product manufacturing,17058
2017,Prince Edward Island,Forestry and logging,
2017,Prince Edward Island,Paper manufacturing,
2017,Prince Edward Island,Support activities for forestry,21
2017,Prince Edward Island,Wood product manufacturing,129
2017,Quebec,Forestry and logging,5866
2017,Quebec,Paper manufacturing,21060
2017,Quebec,Support activities for forestry,3407
2017,Quebec,Wood product manufacturing,29911
2017,Saskatchewan,Forestry and logging,
2017,Saskatchewan,Paper manufacturing,
2017,Saskatchewan,Support activities for forestry,
2017,Saskatchewan,Wood product manufacturing,1849
2017,Yukon,Forestry and logging,
2017,Yukon,Paper manufacturing,
2017,Yukon,Support activities for forestry,
2017,Yukon,Wood product manufacturing,
2018,Canada,Forestry and logging,27174
2018,Canada,Paper manufacturing,54121
2018,Canada,Support activities for forestry,12218
2018,Canada,Wood product manufacturing,94880
2018,Alberta,Forestry and logging,2510
2018,Alberta,Paper manufacturing,2077
2018,Alberta,Support activities for forestry,1104
2018,Alberta,Wood product manufacturing,9082
2018,British Columbia,Forestry and logging,12208
2018,British Columbia,Paper manufacturing,7230
2018,British Columbia,Support activities for forestry,5560
2018,British Columbia,Wood product manufacturing,27888
2018,Manitoba,Forestry and logging,
2018,Manitoba,Paper manufacturing,1224
2018,Manitoba,Support activities for forestry,
