Year,Jurisdiction,Sector,Number of jobs
2013,Quebec,Wood product manufacturing,28870
2013,Saskatchewan,Forestry and logging,340
2013,Saskatchewan,Paper manufacturing,225
2013,Saskatchewan,Support activities for forestry,860
2013,Saskatchewan,Wood product manufacturing,1630
2013,Yukon,Forestry and logging,30
2013,Yukon,Paper manufacturing,0
2013,Yukon,Support activities for forestry,10
2013,Yukon,Wood product manufacturing,30
2014,Canada,Forestry and logging,32085
2014,Canada,Paper manufacturing,57480
2014,Canada,Support activities for forestry,21220
2014,Canada,Wood product manufacturing,92660
2014,Alberta,Forestry and logging,2440
2014,Alberta,Paper manufacturing,2980
2014,Alberta,Support activities for forestry,1665
2014,Alberta,Wood product manufacturing,9740
2014,British Columbia,Forestry and logging,13020
2014,British Columbia,Paper manufacturing,8145
2014,British Columbia,Support activities for forestry,7540
2014,British Columbia,Wood product manufacturing,26385
2014,Manitoba,Forestry and logging,315
2014,Manitoba,Paper manufacturing,1245
2014,Manitoba,Support activities for forestry,520
2014,Manitoba,Wood product manufacturing,2480
2014,New Brunswick,Forestry and logging,2715
2014,New Brunswick,Paper manufacturing,3205
2014,New Brunswick,Support activities for forestry,955
2014,New Brunswick,Wood product manufacturing,5005
2014,Newfoundland and Labrador,Forestry and logging,410
2014,Newfoundland and Labrador,Paper manufacturing,305
2014,Newfoundland and Labrador,Support activities for forestry,160
2014,Newfoundland and Labrador,Wood product manufacturing,360
2014,Northwest Territories,Forestry and logging,5
2014,Northwest Territories,Paper manufacturing,0
2014,Northwest Territories,Support activities for forestry,150
2014,Northwest Territories,Wood product manufacturing,15
2014,Nova Scotia,Forestry and logging,1005
2014,Nova Scotia,Paper manufacturing,1095
2014,Nova Scotia,Support activities for forestry,455
2014,Nova Scotia,Wood product manufacturing,1940
2014,Nunavut,Forestry and logging,0
2014,Nunavut,Paper manufacturing,0
2014,Nunavut,Support activities for forestry,0
2014,Nunavut,Wood product manufacturing,0
2014,Ontario,Forestry and logging,3865
2014,Ontario,Paper manufacturing,18805
2014,Ontario,Support activities for forestry,3255
2014,Ontario,Wood product manufacturing,16880
2014,Prince Edward Island,Forestry and logging,50
2014,Prince Edward Island,Paper manufacturing,260
2014,Prince Edward Island,Support activities for forestry,45
2014,Prince Edward Island,Wood product manufacturing,130
2014,Quebec,Forestry and logging,7825
2014,Quebec,Paper manufacturing,21200
2014,Quebec,Support activities for forestry,5555
2014,Quebec,Wood product manufacturing,28225
2014,Saskatchewan,Forestry and logging,410
2014,Saskatchewan,Paper manufacturing,240
2014,Saskatchewan,Support activities for forestry,910
2014,Saskatchewan,Wood product manufacturing,1460
2014,Yukon,Forestry and logging,25
2014,Yukon,Paper manufacturing,0
2014,Yukon,Support activities for forestry,10
2014,Yukon,Wood product manufacturing,40
2015,Canada,Forestry and logging,32495
2015,Canada,Paper manufacturing,57045
2015,Canada,Support activities for forestry,21420
2015,Canada,Wood product manufacturing,94060
2015,Alberta,Forestry and logging,2670
2015,Alberta,Paper manufacturing,3020
2015,Alberta,Support activities for forestry,1715
2015,Alberta,Wood product manufacturing,9455
2015,British Columbia,Forestry and logging,12475
2015,British Columbia,Paper manufacturing,7825
2015,British Columbia,Support activities for forestry,7770
2015,British Columbia,Wood product manufacturing,26080
2015,Manitoba,Forestry and logging,290
2015,Manitoba,Paper manufacturing,1240
2015,Manitoba,Support activities for forestry,505
2015,Manitoba,Wood product manufacturing,2270
2015,New Brunswick,Forestry and logging,2745
2015,New Brunswick,Paper manufacturing,3070
2015,New Brunswick,Support activities for forestry,965
2015,New Brunswick,Wood product manufacturing,5075
2015,Newfoundland and Labrador,Forestry and logging,470
2015,Newfoundland and Labrador,Paper manufacturing,340
2015,Newfoundland and Labrador,Support activities for forestry,155
2015,Newfoundland and Labrador,Wood product manufacturing,355
2015,Northwest Territories,Forestry and logging,5
2015,Northwest Territories,Paper manufacturing,0
2015,Northwest Territories,Support activities for forestry,150
2015,Northwest Territories,Wood product manufacturing,5
2015,Nova Scotia,Forestry and logging,980
2015,Nova Scotia,Paper manufacturing,1230
2015,Nova Scotia,Support activities for forestry,490
2015,Nova Scotia,Wood product manufacturing,1815
2015,Nunavut,Forestry and logging,0
2015,Nunavut,Paper manufacturing,0
2015,Nunavut,Support activities for forestry,0
2015,Nunavut,Wood product manufacturing,0
2015,Ontario,Forestry and logging,4055
2015,Ontario,Paper manufacturing,18355
2015,Ontario,Support activities for forestry,3300
2015,Ontario,Wood product manufacturing,17225
2015,Prince Edward Island,Forestry and logging,55
2015,Prince Edward Island,Paper manufacturing,290
2015,Prince Edward Island,Support activities for forestry,40
2015,Prince Edward Island,Wood product manufacturing,110
2015,Quebec,Forestry and logging,8290
2015,Quebec,Paper manufacturing,21405
2015,Quebec,Support activities for forestry,5425
2015,Quebec,Wood product manufacturing,29955
2015,Saskatchewan,Forestry and logging,430
2015,Saskatchewan,Paper manufacturing,270
2015,Saskatchewan,Support activities for forestry,890
2015,Saskatchewan,Wood product manufacturing,1685
2015,Yukon,Forestry and logging,30
2015,Yukon,Paper manufacturing,0
2015,Yukon,Support activities for forestry,15
2015,Yukon,Wood product manufacturing,30
2016,Canada,Forestry and logging,33765
2016,Canada,Paper manufacturing,54180
2016,Canada,Support activities for forestry,22175
2016,Canada,Wood product manufacturing,99160
2016,Alberta,Forestry and logging,2935
2016,Alberta,Paper manufacturing,3030
2016,Alberta,Support activities for forestry,1815
2016,Alberta,Wood product manufacturing,9975
2016,British Columbia,Forestry and logging,13210
