Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Superficie,Number,Nombre
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,10126.82,10126.82,92,92
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,2999302.32,2999302.32,525,525
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brulage dirige,17882,17882,28,28
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,3.41,3.41,8,8
1994,1994,ON,Ontario,Ontario,Human activity,Activites humaines,7455.000002,7455.000002,698,698
1994,1994,ON,Ontario,Ontario,Lightning,Foudre,76020.3,76020.3,351,351
1994,1994,ON,Ontario,Ontario,Unspecified,Indeterminee,129.1000001,129.1000001,30,30
1994,1994,PE,Prince Edward Island,Ile-du-Prince-edouard,Human activity,Activites humaines,16,16,34,34
1994,1994,PE,Prince Edward Island,Ile-du-Prince-edouard,Lightning,Foudre,0,0,0,0
1994,1994,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,6,6,9,9
1994,1994,QC,Quebec,Quebec,Human activity,Activites humaines,792.9,792.9,381,381
1994,1994,QC,Quebec,Quebec,Lightning,Foudre,115247.4,115247.4,118,118
1994,1994,SK,Saskatchewan,Saskatchewan,Human activity,Activites humaines,3770.36,3770.36,435,435
1994,1994,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,842249.09,842249.09,262,262
1994,1994,YT,Yukon,Yukon,Human activity,Activites humaines,29.37,29.37,70,70
1994,1994,YT,Yukon,Yukon,Lightning,Foudre,421681.02,421681.02,185,185
1995,1995,AB,Alberta,Alberta,Human activity,Activites humaines,7887.02,7887.02,414,414
1995,1995,AB,Alberta,Alberta,Lightning,Foudre,331045.59,331045.59,366,366
1995,1995,AB,Alberta,Alberta,Unspecified,Indeterminee,3046.75,3046.75,28,28
1995,1995,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,19714.4,19714.4,1130,1130
