Year,Annee,Jurisdiction,Juridiction,ISO,Forest-certification-by-type,Certification-forestiere-par-type,Area,Superficie
2002,2002,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,4940000,4940000
2002,2002,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,4940000,4940000
2002,2002,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,0,0
2002,2002,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2002,2002,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2003,2003,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,5205000,5205000
2003,2003,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,5205000,5205000
2003,2003,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,58392457,58392457
2003,2003,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,4211907,4211907
2003,2003,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,25775550,25775550
2003,2003,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,28405000,28405000
2003,2003,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,22040841,22040841
2003,2003,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,100291,100291
2003,2003,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,11840550,11840550
2003,2003,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,10100000,10100000
2003,2003,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,0,0
2003,2003,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2003,2003,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,5770000,5770000
2003,2003,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,5770000,5770000
2003,2003,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,0,0
2003,2003,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,3680984,3680984
2003,2003,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,984,984
2003,2003,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,3680000,3680000
2003,2003,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2003,2003,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1635384,1635384
2003,2003,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,384,384
2003,2003,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1005000,1005000
2003,2003,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,630000,630000
2003,2003,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2003,2003,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2003,2003,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,8213184,8213184
2003,2003,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,4083184,4083184
2003,2003,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,4130000,4130000
2003,2003,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,5107064,5107064
2003,2003,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,27064,27064
2003,2003,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,3480000,3480000
2003,2003,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,1600000,1600000
2003,2003,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,4940000,4940000
2003,2003,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,4940000,4940000
2003,2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,180000,180000
2003,2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,180000,180000
2003,2003,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2003,2003,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2003,2003,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2003,2003,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2003,2003,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2003,2003,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2004,2004,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,12050000,12050000
2004,2004,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,3580000,3580000
2004,2004,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,8470000,8470000
2004,2004,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,86468821,86468821
2004,2004,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,4366271,4366271
2004,2004,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,35532550,35532550
2004,2004,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,47380000,47380000
2004,2004,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,30380378,30380378
2004,2004,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,250984,250984
2004,2004,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,18410550,18410550
2004,2004,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,10830000,10830000
2004,2004,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,0,0
2004,2004,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2004,2004,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2004,2004,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,10580000,10580000
2004,2004,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2060000,2060000
2004,2004,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,8520000,8520000
2004,2004,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,4741385,4741385
2004,2004,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,1385,1385
2004,2004,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,4740000,4740000
2004,2004,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2004,2004,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1252400,1252400
2004,2004,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,400,400
