Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Superficie
2000,2000,YT,Yukon,Yukon,Jack pine budworm,Tordeuse du pin gris,0,0
2000,2000,YT,Yukon,Yukon,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2000,2000,YT,Yukon,Yukon,Hemlock looper,Arpenteuse de la pruche,0,0
2000,2000,YT,Yukon,Yukon,Forest tent caterpillar,Livree des forets,0,0
2000,2000,YT,Yukon,Yukon,Spongy moth,Spongieuse,0,0
2000,2000,YT,Yukon,Yukon,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2000,2000,YT,Yukon,Yukon,Balsam fir sawfly,Diprion du sapin,0,0
2000,2000,YT,Yukon,Yukon,Swaine jack pine sawfly,Diprion de Swaine,0,0
2000,2000,YT,Yukon,Yukon,Bruce spanworm,Arpenteuse de Bruce,0,0
2000,2000,YT,Yukon,Yukon,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2000,2000,YT,Yukon,Yukon,Large aspen tortrix,Tordeuse du tremble,0,0
2000,2000,YT,Yukon,Yukon,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2000,2000,YT,Yukon,Yukon,Spruce beetle,Dendroctone de l'epinette,45600,45600
2000,2000,YT,Yukon,Yukon,Aspen twoleaf tier,Noctuelle decolorie,0,0
2000,2000,YT,Yukon,Yukon,Other,Autres,0,0
2001,2001,AB,Alberta,Alberta,Spruce budworm,Tordeuse des bourgeons de l'epinette,115572,115572
2001,2001,AB,Alberta,Alberta,Jack pine budworm,Tordeuse du pin gris,0,0
2001,2001,AB,Alberta,Alberta,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2001,2001,AB,Alberta,Alberta,Hemlock looper,Arpenteuse de la pruche,0,0
2001,2001,AB,Alberta,Alberta,Forest tent caterpillar,Livree des forets,0,0
2001,2001,AB,Alberta,Alberta,Spongy moth,Spongieuse,0,0
2001,2001,AB,Alberta,Alberta,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2001,2001,AB,Alberta,Alberta,Balsam fir sawfly,Diprion du sapin,0,0
2001,2001,AB,Alberta,Alberta,Swaine jack pine sawfly,Diprion de Swaine,0,0
