Year,Jurisdiction,NAICS,Value
2006,British Columbia,Support activities for forestry,7720
2006,British Columbia,Wood product manufacturing,40200
2006,Manitoba,Forestry and logging,555
2006,Manitoba,Paper manufacturing,1740
2006,Manitoba,Support activities for forestry,610
2006,Manitoba,Wood product manufacturing,4435
2006,New Brunswick,Forestry and logging,3210
2006,New Brunswick,Paper manufacturing,2795
2006,New Brunswick,Support activities for forestry,1250
2006,New Brunswick,Wood product manufacturing,6065
2006,Newfoundland and Labrador,Forestry and logging,845
2006,Newfoundland and Labrador,Paper manufacturing,1155
2006,Newfoundland and Labrador,Support activities for forestry,250
2006,Newfoundland and Labrador,Wood product manufacturing,460
2006,Northwest Territories,Forestry and logging,15
2006,Northwest Territories,Paper manufacturing,0
2006,Northwest Territories,Support activities for forestry,170
2006,Northwest Territories,Wood product manufacturing,0
2006,Nova Scotia,Forestry and logging,1910
2006,Nova Scotia,Paper manufacturing,1895
2006,Nova Scotia,Support activities for forestry,520
2006,Nova Scotia,Wood product manufacturing,3605
2006,Ontario,Forestry and logging,7725
2006,Ontario,Paper manufacturing,30145
2006,Ontario,Support activities for forestry,2635
2006,Ontario,Wood product manufacturing,30525
2006,Prince Edward Island,Forestry and logging,65
2006,Prince Edward Island,Paper manufacturing,120
2006,Prince Edward Island,Support activities for forestry,10
2006,Prince Edward Island,Wood product manufacturing,385
2006,Quebec,Forestry and logging,13205
2006,Quebec,Paper manufacturing,27800
2006,Quebec,Support activities for forestry,5105
2006,Quebec,Wood product manufacturing,36670
2006,Saskatchewan,Forestry and logging,605
2006,Saskatchewan,Paper manufacturing,360
2006,Saskatchewan,Support activities for forestry,1225
2006,Saskatchewan,Wood product manufacturing,1925
2006,Yukon,Forestry and logging,20
2006,Yukon,Paper manufacturing,0
2006,Yukon,Support activities for forestry,10
2006,Yukon,Wood product manufacturing,30
2006,Northwest Territories including Nunavut,Forestry and logging,0
2006,Northwest Territories including Nunavut,Paper manufacturing,0
2006,Northwest Territories including Nunavut,Support activities for forestry,0
2006,Northwest Territories including Nunavut,Wood product manufacturing,0
2006,Nunavut,Forestry and logging,0
2006,Nunavut,Paper manufacturing,0
2006,Nunavut,Support activities for forestry,0
2006,Nunavut,Wood product manufacturing,0
2007,Canada,Forestry and logging,44940
2007,Canada,Paper manufacturing,77780
2007,Canada,Support activities for forestry,21145
2007,Canada,Wood product manufacturing,114635
2007,Alberta,Forestry and logging,2700
2007,Alberta,Paper manufacturing,3660
2007,Alberta,Support activities for forestry,1800
2007,Alberta,Wood product manufacturing,11255
2007,British Columbia,Forestry and logging,16665
2007,British Columbia,Paper manufacturing,12230
2007,British Columbia,Support activities for forestry,7725
2007,British Columbia,Wood product manufacturing,35125
2007,Manitoba,Forestry and logging,540
2007,Manitoba,Paper manufacturing,1710
2007,Manitoba,Support activities for forestry,620
2007,Manitoba,Wood product manufacturing,4030
2007,New Brunswick,Forestry and logging,3045
2007,New Brunswick,Paper manufacturing,4035
2007,New Brunswick,Support activities for forestry,1245
2007,New Brunswick,Wood product manufacturing,4780
2007,Newfoundland and Labrador,Forestry and logging,800
2007,Newfoundland and Labrador,Paper manufacturing,1095
2007,Newfoundland and Labrador,Support activities for forestry,245
2007,Newfoundland and Labrador,Wood product manufacturing,485
2007,Northwest Territories,Forestry and logging,15
2007,Northwest Territories,Paper manufacturing,0
2007,Northwest Territories,Support activities for forestry,170
2007,Northwest Territories,Wood product manufacturing,0
2007,Nova Scotia,Forestry and logging,1875
2007,Nova Scotia,Paper manufacturing,2540
2007,Nova Scotia,Support activities for forestry,525
2007,Nova Scotia,Wood product manufacturing,3070
2007,Ontario,Forestry and logging,7115
