Année,Juridiction,SCIAN,Valeur
2005,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,255
2005,Terre-Neuve-et-Labrador,Fabrication de produits en bois,545
2005,Territoires du Nord-Ouest,Foresterie et exploitation forestière,15
2005,Territoires du Nord-Ouest,Fabrication du papier,0
2005,Territoires du Nord-Ouest,Activités de soutien à la foresterie,160
2005,Territoires du Nord-Ouest,Fabrication de produits en bois,10
2005,Nouvelle-Écosse,Foresterie et exploitation forestière,2195
2005,Nouvelle-Écosse,Fabrication du papier,2230
2005,Nouvelle-Écosse,Activités de soutien à la foresterie,600
2005,Nouvelle-Écosse,Fabrication de produits en bois,3385
2005,Ontario,Foresterie et exploitation forestière,8565
2005,Ontario,Fabrication du papier,33565
2005,Ontario,Activités de soutien à la foresterie,2605
2005,Ontario,Fabrication de produits en bois,34185
2005,Île-du-Prince-Édouard,Foresterie et exploitation forestière,65
2005,Île-du-Prince-Édouard,Fabrication du papier,125
2005,Île-du-Prince-Édouard,Activités de soutien à la foresterie,15
2005,Île-du-Prince-Édouard,Fabrication de produits en bois,360
2005,Québec,Foresterie et exploitation forestière,13900
2005,Québec,Fabrication du papier,29960
2005,Québec,Activités de soutien à la foresterie,4955
2005,Québec,Fabrication de produits en bois,41870
2005,Saskatchewan,Foresterie et exploitation forestière,680
2005,Saskatchewan,Fabrication du papier,1480
2005,Saskatchewan,Activités de soutien à la foresterie,1170
2005,Saskatchewan,Fabrication de produits en bois,3270
2005,Yukon,Foresterie et exploitation forestière,25
2005,Yukon,Fabrication du papier,0
2005,Yukon,Activités de soutien à la foresterie,10
2005,Yukon,Fabrication de produits en bois,25
2005,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2005,Territoires du Nord-Ouest,Fabrication du papier,0
2005,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2005,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2005,Nunavut,Foresterie et exploitation forestière,0
2005,Nunavut,Fabrication du papier,0
2005,Nunavut,Activités de soutien à la foresterie,0
2005,Nunavut,Fabrication de produits en bois,0
2006,Canada,Foresterie et exploitation forestière,49955
2006,Canada,Fabrication du papier,83210
2006,Canada,Activités de soutien à la foresterie,21390
2006,Canada,Fabrication de produits en bois,136805
2006,Alberta,Foresterie et exploitation forestière,3030
2006,Alberta,Fabrication du papier,3850
2006,Alberta,Activités de soutien à la foresterie,1885
2006,Alberta,Fabrication de produits en bois,12505
2006,Colombie-Britannique,Foresterie et exploitation forestière,18770
2006,Colombie-Britannique,Fabrication du papier,13350
2006,Colombie-Britannique,Activités de soutien à la foresterie,7720
2006,Colombie-Britannique,Fabrication de produits en bois,40200
2006,Manitoba,Foresterie et exploitation forestière,555
2006,Manitoba,Fabrication du papier,1740
2006,Manitoba,Activités de soutien à la foresterie,610
2006,Manitoba,Fabrication de produits en bois,4435
2006,Nouveau-Brunswick,Foresterie et exploitation forestière,3210
2006,Nouveau-Brunswick,Fabrication du papier,2795
2006,Nouveau-Brunswick,Activités de soutien à la foresterie,1250
2006,Nouveau-Brunswick,Fabrication de produits en bois,6065
2006,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,845
2006,Terre-Neuve-et-Labrador,Fabrication du papier,1155
