Year,Année,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espèce,Area,Data_qualifier,Superficie,Qualificatifs_de_données
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Spruce budworm,Tordeuse des bourgeons de l'épinette,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Spongy moth,Spongieuse,0,n,0,n
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Western spruce budworm,Tordeuse occidentale de l'épinette,0,n,0,n
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,n,0,n
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Other,Autres,0,a,0,a
1990,1990,QC,Quebec,Québec,Spruce budworm,Tordeuse des bourgeons de l'épinette,871854,a,871854,a
1990,1990,QC,Quebec,Québec,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1990,1990,QC,Quebec,Québec,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
1990,1990,QC,Quebec,Québec,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1990,1990,QC,Quebec,Québec,Forest tent caterpillar,Livrée des forêts,92090,a,92090,a
1990,1990,QC,Quebec,Québec,Spongy moth,Spongieuse,6075,r,6075,r
1990,1990,QC,Quebec,Québec,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1990,1990,QC,Quebec,Québec,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1990,1990,QC,Quebec,Québec,Swaine jack pine sawfly,Diprion de Swaine,615,a,615,a
1990,1990,QC,Quebec,Québec,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1990,1990,QC,Quebec,Québec,Western spruce budworm,Tordeuse occidentale de l'épinette,0,n,0,n
1990,1990,QC,Quebec,Québec,Large aspen tortrix,Tordeuse du tremble,19220,a,19220,a
1990,1990,QC,Quebec,Québec,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,n,0,n
1990,1990,QC,Quebec,Québec,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1990,1990,QC,Quebec,Québec,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1990,1990,QC,Quebec,Québec,Other,Autres,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Spruce budworm,Tordeuse des bourgeons de l'épinette,18780,a,18780,a
1990,1990,SK,Saskatchewan,Saskatchewan,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Forest tent caterpillar,Livrée des forêts,260922,a,260922,a
1990,1990,SK,Saskatchewan,Saskatchewan,Spongy moth,Spongieuse,0,n,0,n
1990,1990,SK,Saskatchewan,Saskatchewan,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Western spruce budworm,Tordeuse occidentale de l'épinette,0,n,0,n
1990,1990,SK,Saskatchewan,Saskatchewan,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,n,0,n
1990,1990,SK,Saskatchewan,Saskatchewan,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Other,Autres,0,a,0,a
1990,1990,YT,Yukon,Yukon,Spruce budworm,Tordeuse des bourgeons de l'épinette,0,a,0,a
1990,1990,YT,Yukon,Yukon,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1990,1990,YT,Yukon,Yukon,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1990,1990,YT,Yukon,Yukon,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1990,1990,YT,Yukon,Yukon,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1990,1990,YT,Yukon,Yukon,Spongy moth,Spongieuse,0,a,0,a
1990,1990,YT,Yukon,Yukon,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1990,1990,YT,Yukon,Yukon,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1990,1990,YT,Yukon,Yukon,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1990,1990,YT,Yukon,Yukon,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
