Year,Annee,ISO,Jurisdiction,Juridiction,Category,Categorie,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Volume
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Provincial land,Terres provinciales,28700
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Private land,Terres privees,55000
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Softwoods,Resineux,Federal land,Terres federales,461
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Federal land,Terres federales,2126
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Logs and bolts,Billes et billots,Softwoods,Resineux,Provincial land,Terres provinciales,259951
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Logs and bolts,Billes et billots,Softwoods,Resineux,Private land,Terres privees,3541971
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Provincial land,Terres provinciales,6452
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Private land,Terres privees,103064
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pulpwood,Bois a pate,Softwoods,Resineux,Provincial land,Terres provinciales,279712
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pulpwood,Bois a pate,Softwoods,Resineux,Private land,Terres privees,1555224
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pulpwood,Bois a pate,Hardwoods,Feuillus,Provincial land,Terres provinciales,32966
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pulpwood,Bois a pate,Hardwoods,Feuillus,Private land,Terres privees,647524
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pulpwood,Bois a pate,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pulpwood,Bois a pate,Unspecified,Indeterminee,Private land,Terres privees,0
