Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2001,Alberta,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3228
2001,Alberta,Imports,Wood-Fabricated Materials,Veneer (square metres),438088
2001,British Columbia,Imports,Primary Wood Products,Logs (cubic metres),47004
2001,British Columbia,Imports,Primary Wood Products,Pulpwood (cubic metres),426494
2001,British Columbia,Imports,Pulp and Paper Products,Newsprint (tonnes),14011
2001,British Columbia,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),250522
2001,British Columbia,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),21494
2001,British Columbia,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),45439
2001,British Columbia,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),9891
2001,British Columbia,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),116169
2001,British Columbia,Imports,Wood-Fabricated Materials,Plywood (cubic metres),96751
2001,British Columbia,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),232010
2001,British Columbia,Imports,Wood-Fabricated Materials,Veneer (square metres),7727225
2001,Manitoba,Imports,Primary Wood Products,Logs (cubic metres),6491
2001,Manitoba,Imports,Primary Wood Products,Pulpwood (cubic metres),3
2001,Manitoba,Imports,Pulp and Paper Products,Newsprint (tonnes),10
2001,Manitoba,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),109930
2001,Manitoba,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),629
2001,Manitoba,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),89023
2001,Manitoba,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4597
2001,Manitoba,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),5842
2001,Manitoba,Imports,Wood-Fabricated Materials,Plywood (cubic metres),14709
2001,Manitoba,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3739
2001,Manitoba,Imports,Wood-Fabricated Materials,Veneer (square metres),1347234
2001,New Brunswick,Imports,Primary Wood Products,Logs (cubic metres),1101936
2001,New Brunswick,Imports,Primary Wood Products,Pulpwood (cubic metres),9079
2001,New Brunswick,Imports,Pulp and Paper Products,Newsprint (tonnes),104
2001,New Brunswick,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),50171
2001,New Brunswick,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),10166
2001,New Brunswick,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),21121
2001,New Brunswick,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),39914
2001,New Brunswick,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),541
2001,New Brunswick,Imports,Wood-Fabricated Materials,Plywood (cubic metres),5133
2001,New Brunswick,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),54136
2001,New Brunswick,Imports,Wood-Fabricated Materials,Veneer (square metres),4436451
2001,Newfoundland and Labrador,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),4946
2001,Newfoundland and Labrador,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),10019
2001,Newfoundland and Labrador,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),85
2001,Newfoundland and Labrador,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),49
2001,Newfoundland and Labrador,Imports,Wood-Fabricated Materials,Plywood (cubic metres),221
2001,Nova Scotia,Imports,Primary Wood Products,Logs (cubic metres),113
2001,Nova Scotia,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),12556
2001,Nova Scotia,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),5
2001,Nova Scotia,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),57
2001,Nova Scotia,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),2415
2001,Nova Scotia,Imports,Wood-Fabricated Materials,Plywood (cubic metres),289
2001,Nova Scotia,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1033
2001,Nova Scotia,Imports,Wood-Fabricated Materials,Veneer (square metres),760915
2001,Ontario,Imports,Primary Wood Products,Logs (cubic metres),475814
2001,Ontario,Imports,Primary Wood Products,Pulpwood (cubic metres),172449
2001,Ontario,Imports,Pulp and Paper Products,Newsprint (tonnes),17439
2001,Ontario,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),1617803
2001,Ontario,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),107435
2001,Ontario,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),637783
2001,Ontario,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),32914
2001,Ontario,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),129342
2001,Ontario,Imports,Wood-Fabricated Materials,Plywood (cubic metres),152359
2001,Ontario,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),121141
2001,Ontario,Imports,Wood-Fabricated Materials,Veneer (square metres),89719409
2001,Prince Edward Island,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),4
2001,Prince Edward Island,Imports,Wood-Fabricated Materials,Plywood (cubic metres),2
2001,Prince Edward Island,Imports,Wood-Fabricated Materials,Veneer (square metres),7824
2001,Quebec,Imports,Primary Wood Products,Logs (cubic metres),2704584
2001,Quebec,Imports,Primary Wood Products,Pulpwood (cubic metres),1980928
2001,Quebec,Imports,Pulp and Paper Products,Newsprint (tonnes),15298
2001,Quebec,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),713513
2001,Quebec,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),92017
2001,Quebec,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),212323
2001,Quebec,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),20664
2001,Quebec,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),34076
2001,Quebec,Imports,Wood-Fabricated Materials,Plywood (cubic metres),239793
2001,Quebec,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),147723
2001,Quebec,Imports,Wood-Fabricated Materials,Veneer (square metres),16032991
2001,Saskatchewan,Imports,Primary Wood Products,Logs (cubic metres),150
2001,Saskatchewan,Imports,Pulp and Paper Products,Newsprint (tonnes),5
2001,Saskatchewan,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),23285
2001,Saskatchewan,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),148
2001,Saskatchewan,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),13943
2001,Saskatchewan,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3060
2001,Saskatchewan,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),1338
2001,Saskatchewan,Imports,Wood-Fabricated Materials,Plywood (cubic metres),2210
2001,Saskatchewan,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),329
2001,Saskatchewan,Imports,Wood-Fabricated Materials,Veneer (square metres),1817400
2001,Yukon,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),104
2002,Canada,Imports,Primary Wood Products,Logs (cubic metres),4876315
2002,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),2022600
2002,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),54127
2002,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2821114
2002,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),264449
2002,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1109680
2002,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),142333
2002,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),535393
2002,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),438324
2002,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),527329
2002,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),118707900
2002,Alberta,Imports,Primary Wood Products,Logs (cubic metres),817
2002,Alberta,Imports,Pulp and Paper Products,Newsprint (tonnes),117
2002,Alberta,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),100738
2002,Alberta,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),18388
2002,Alberta,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),14529
2002,Alberta,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),7876
2002,Alberta,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),17823
2002,Alberta,Imports,Wood-Fabricated Materials,Plywood (cubic metres),5055
2002,Alberta,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),2607
2002,Alberta,Imports,Wood-Fabricated Materials,Veneer (square metres),472820
2002,British Columbia,Imports,Primary Wood Products,Logs (cubic metres),36176
2002,British Columbia,Imports,Primary Wood Products,Pulpwood (cubic metres),389960
2002,British Columbia,Imports,Pulp and Paper Products,Newsprint (tonnes),13393
2002,British Columbia,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),251250
2002,British Columbia,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),32330
2002,British Columbia,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),57446
2002,British Columbia,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),12191
2002,British Columbia,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),122624
2002,British Columbia,Imports,Wood-Fabricated Materials,Plywood (cubic metres),114664
2002,British Columbia,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),196889
2002,British Columbia,Imports,Wood-Fabricated Materials,Veneer (square metres),4847688
2002,Manitoba,Imports,Primary Wood Products,Logs (cubic metres),567
2002,Manitoba,Imports,Pulp and Paper Products,Newsprint (tonnes),216
2002,Manitoba,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),122441
2002,Manitoba,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),824
2002,Manitoba,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),81488
2002,Manitoba,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),6838
2002,Manitoba,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),17195
2002,Manitoba,Imports,Wood-Fabricated Materials,Plywood (cubic metres),18271
2002,Manitoba,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3194
2002,Manitoba,Imports,Wood-Fabricated Materials,Veneer (square metres),1500509
2002,New Brunswick,Imports,Primary Wood Products,Logs (cubic metres),757064
2002,New Brunswick,Imports,Primary Wood Products,Pulpwood (cubic metres),13096
2002,New Brunswick,Imports,Pulp and Paper Products,Newsprint (tonnes),149
2002,New Brunswick,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),53235
2002,New Brunswick,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),17216
2002,New Brunswick,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),25023
2002,New Brunswick,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),42922
2002,New Brunswick,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),20722
2002,New Brunswick,Imports,Wood-Fabricated Materials,Plywood (cubic metres),8170
2002,New Brunswick,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),48058
2002,New Brunswick,Imports,Wood-Fabricated Materials,Veneer (square metres),6673269
2002,Newfoundland and Labrador,Imports,Primary Wood Products,Logs (cubic metres),432
2002,Newfoundland and Labrador,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2457
2002,Newfoundland and Labrador,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),60
2002,Newfoundland and Labrador,Imports,Wood-Fabricated Materials,Plywood (cubic metres),4
2002,Newfoundland and Labrador,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),84
2002,Newfoundland and Labrador,Imports,Wood-Fabricated Materials,Veneer (square metres),224
2002,Nova Scotia,Imports,Primary Wood Products,Logs (cubic metres),34
2002,Nova Scotia,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),15898
2002,Nova Scotia,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),51
