Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2001,Newfoundland and Labrador,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),61
2001,Newfoundland and Labrador,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),160548
2001,Newfoundland and Labrador,Exports,Wood-Fabricated Materials,Veneer (square metres),26594
2001,Northwest Territories,Exports,Primary Wood Products,Logs (cubic metres),705
2001,Northwest Territories,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),5182
2001,Nova Scotia,Exports,Primary Wood Products,Logs (cubic metres),2589
2001,Nova Scotia,Exports,Primary Wood Products,Pulpwood (cubic metres),3
2001,Nova Scotia,Exports,Pulp and Paper Products,Newsprint (tonnes),324066
2001,Nova Scotia,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),263225
2001,Nova Scotia,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),613385
2001,Nova Scotia,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),3905
2001,Nova Scotia,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),583
2001,Nova Scotia,Exports,Wood-Fabricated Materials,Plywood (cubic metres),743
2001,Nova Scotia,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1081133
2001,Nova Scotia,Exports,Wood-Fabricated Materials,Veneer (square metres),3127
2001,Ontario,Exports,Primary Wood Products,Logs (cubic metres),294372
2001,Ontario,Exports,Primary Wood Products,Pulpwood (cubic metres),26318
2001,Ontario,Exports,Pulp and Paper Products,Newsprint (tonnes),1854768
2001,Ontario,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),1774751
2001,Ontario,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1390927
2001,Ontario,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),483799
2001,Ontario,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2105257
2001,Ontario,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),1445583
2001,Ontario,Exports,Wood-Fabricated Materials,Plywood (cubic metres),271020
