Year,Jurisdiction,Commodity Group,Import value (dollars),Export value (dollars),Balance of trade (dollars)
2007,New Brunswick,Primary Wood Products,86048968,7559515,-78489453
2007,New Brunswick,Pulp and Paper Products,101596556,1342071670,1240475114
2007,New Brunswick,Wood-Fabricated Materials,52678520,498132432,445453912
2007,Newfoundland and Labrador,Primary Wood Products,11751,5033,-6718
2007,Newfoundland and Labrador,Pulp and Paper Products,11726369,341051442,329325073
2007,Newfoundland and Labrador,Wood-Fabricated Materials,60255,6173090,6112835
2007,Northwest Territories,Wood-Fabricated Materials,0,109108,109108
2007,Nova Scotia,Primary Wood Products,6652,31492141,31485489
2007,Nova Scotia,Pulp and Paper Products,22720423,701394463,678674040
2007,Nova Scotia,Wood-Fabricated Materials,33599729,166977877,133378148
2007,Nunavut,Pulp and Paper Products,0,149455,149455
2007,Nunavut,Wood-Fabricated Materials,0,2254,2254
2007,Ontario,Primary Wood Products,67425238,93406104,25980866
2007,Ontario,Pulp and Paper Products,4221098622,4115519378,-105579244
2007,Ontario,Wood-Fabricated Materials,1264672611,1677182051,412509440
2007,Prince Edward Island,Primary Wood Products,0,37723,37723
2007,Prince Edward Island,Pulp and Paper Products,9384,928646,919262
2007,Prince Edward Island,Wood-Fabricated Materials,30476,5882902,5852426
2007,Quebec,Primary Wood Products,320106625,71062242,-249044383
2007,Quebec,Pulp and Paper Products,1126432457,6723895891,5597463434
2007,Quebec,Wood-Fabricated Materials,568119785,2776972304,2208852519
2007,Saskatchewan,Primary Wood Products,182328,3690829,3508501
2007,Saskatchewan,Pulp and Paper Products,40542011,213801946,173259935
2007,Saskatchewan,Wood-Fabricated Materials,27875656,130258785,102383129
2007,Yukon,Primary Wood Products,0,64337,64337
2007,Yukon,Pulp and Paper Products,6746,56990,50244
2007,Yukon,Wood-Fabricated Materials,8009,949922,941913
2008,Canada,Primary Wood Products,508289050,696344790,188055740
2008,Canada,Pulp and Paper Products,6809491258,20359605102,13550113844
2008,Canada,Wood-Fabricated Materials,2808757209,9138862845,6330105636
2008,Alberta,Primary Wood Products,3430992,27011474,23580482
2008,Alberta,Pulp and Paper Products,154560134,1609272977,1454712843
2008,Alberta,Wood-Fabricated Materials,139614009,529350232,389736223
2008,British Columbia,Primary Wood Products,68549166,479808135,411258969
2008,British Columbia,Pulp and Paper Products,709479492,4699274715,3989795223
2008,British Columbia,Wood-Fabricated Materials,725039866,4773050940,4048011074
2008,Manitoba,Primary Wood Products,2197206,575516,-1621690
2008,Manitoba,Pulp and Paper Products,319865965,288993780,-30872185
2008,Manitoba,Wood-Fabricated Materials,119452542,182664807,63212265
2008,New Brunswick,Primary Wood Products,74216992,12269833,-61947159
2008,New Brunswick,Pulp and Paper Products,112733538,1089735582,977002044
2008,New Brunswick,Wood-Fabricated Materials,48411067,316560201,268149134
2008,Newfoundland and Labrador,Primary Wood Products,0,21475,21475
2008,Newfoundland and Labrador,Pulp and Paper Products,11181475,337279170,326097695
2008,Newfoundland and Labrador,Wood-Fabricated Materials,73533,2727721,2654188
2008,Northwest Territories,Wood-Fabricated Materials,0,80362,80362
2008,Nova Scotia,Primary Wood Products,11142,30974519,30963377
2008,Nova Scotia,Pulp and Paper Products,18005266,804025936,786020670
2008,Nova Scotia,Wood-Fabricated Materials,34626050,103242192,68616142
2008,Nunavut,Pulp and Paper Products,0,35109,35109
2008,Nunavut,Wood-Fabricated Materials,0,9202,9202
2008,Ontario,Primary Wood Products,76205768,64709663,-11496105
2008,Ontario,Pulp and Paper Products,4223604341,4171015195,-52589146
2008,Ontario,Wood-Fabricated Materials,1184736220,1170836586,-13899634
2008,Prince Edward Island,Primary Wood Products,0,15230,15230
2008,Prince Edward Island,Pulp and Paper Products,21738,825917,804179
2008,Prince Edward Island,Wood-Fabricated Materials,77647,2166966,2089319
2008,Quebec,Primary Wood Products,282126496,76536324,-205590172
2008,Quebec,Pulp and Paper Products,1226709879,7152400259,5925690380
2008,Quebec,Wood-Fabricated Materials,524733144,2004046359,1479313215
2008,Saskatchewan,Primary Wood Products,1550171,4367359,2817188
2008,Saskatchewan,Pulp and Paper Products,33315077,206741174,173426097
2008,Saskatchewan,Wood-Fabricated Materials,31988561,53686043,21697482
2008,Yukon,Primary Wood Products,1117,55262,54145
2008,Yukon,Pulp and Paper Products,14353,5288,-9065
2008,Yukon,Wood-Fabricated Materials,4570,441234,436664
2009,Canada,Primary Wood Products,487345461,654732086,167386625
2009,Canada,Pulp and Paper Products,6332453314,16059767237,9727313923
2009,Canada,Wood-Fabricated Materials,2394487091,6790537158,4396050067
2009,Alberta,Primary Wood Products,4413346,20878064,16464718
2009,Alberta,Pulp and Paper Products,157330448,1315396858,1158066410
2009,Alberta,Wood-Fabricated Materials,135765510,483110733,347345223
2009,British Columbia,Primary Wood Products,50495587,465300900,414805313
2009,British Columbia,Pulp and Paper Products,648031896,3475863347,2827831451
2009,British Columbia,Wood-Fabricated Materials,592418058,3552836615,2960418557
2009,Manitoba,Primary Wood Products,1072880,668853,-404027
2009,Manitoba,Pulp and Paper Products,312517030,224538738,-87978292
2009,Manitoba,Wood-Fabricated Materials,105197712,103240042,-1957670
2009,New Brunswick,Primary Wood Products,60977833,12459298,-48518535
2009,New Brunswick,Pulp and Paper Products,110093200,1015642438,905549238
2009,New Brunswick,Wood-Fabricated Materials,43006107,266472788,223466681
2009,Newfoundland and Labrador,Primary Wood Products,5500,4000,-1500
2009,Newfoundland and Labrador,Pulp and Paper Products,5479164,166260882,160781718
2009,Newfoundland and Labrador,Wood-Fabricated Materials,257943,1917929,1659986
2009,Northwest Territories,Pulp and Paper Products,0,33178,33178
2009,Northwest Territories,Wood-Fabricated Materials,0,45848,45848
2009,Nova Scotia,Primary Wood Products,71265,30218580,30147315
2009,Nova Scotia,Pulp and Paper Products,20253477,574215713,553962236
2009,Nova Scotia,Wood-Fabricated Materials,32796135,69084900,36288765
2009,Nunavut,Primary Wood Products,335,0,-335
2009,Nunavut,Pulp and Paper Products,815,357,-458
2009,Nunavut,Wood-Fabricated Materials,687,34816,34129
2009,Ontario,Primary Wood Products,57580394,54576709,-3003685
2009,Ontario,Pulp and Paper Products,3940113668,3310775590,-629338078
2009,Ontario,Wood-Fabricated Materials,998479692,775773096,-222706596
2009,Prince Edward Island,Primary Wood Products,121,11434,11313
2009,Prince Edward Island,Pulp and Paper Products,5191,1893560,1888369
2009,Prince Edward Island,Wood-Fabricated Materials,49806,1392757,1342951
2009,Quebec,Primary Wood Products,311482637,67781022,-243701615
2009,Quebec,Pulp and Paper Products,1099482630,5772490892,4673008262
2009,Quebec,Wood-Fabricated Materials,454974686,1488796854,1033822168
2009,Saskatchewan,Primary Wood Products,1245351,2799090,1553739
2009,Saskatchewan,Pulp and Paper Products,39131002,202655684,163524682
2009,Saskatchewan,Wood-Fabricated Materials,31536935,47683358,16146423
2009,Yukon,Primary Wood Products,212,34136,33924
2009,Yukon,Pulp and Paper Products,14793,0,-14793
2009,Yukon,Wood-Fabricated Materials,3820,147422,143602
2010,Canada,Primary Wood Products,448949354,844658429,395709075
2010,Canada,Pulp and Paper Products,6293823387,17167343788,10873520401
2010,Canada,Wood-Fabricated Materials,2679099966,7898887883,5219787917
2010,Alberta,Primary Wood Products,3015477,21736763,18721286
2010,Alberta,Pulp and Paper Products,141049331,1601889167,1460839836
2010,Alberta,Wood-Fabricated Materials,147603479,622050752,474447273
2010,British Columbia,Primary Wood Products,42051573,646147764,604096191
2010,British Columbia,Pulp and Paper Products,675935294,4037687784,3361752490
2010,British Columbia,Wood-Fabricated Materials,691672654,4349096169,3657423515
2010,Manitoba,Primary Wood Products,2102313,437678,-1664635
2010,Manitoba,Pulp and Paper Products,293251609,198758750,-94492859
2010,Manitoba,Wood-Fabricated Materials,109066233,85775644,-23290589
2010,New Brunswick,Primary Wood Products,65692587,15486795,-50205792
2010,New Brunswick,Pulp and Paper Products,112427160,1197972672,1085545512
2010,New Brunswick,Wood-Fabricated Materials,50378524,342044396,291665872
2010,Newfoundland and Labrador,Primary Wood Products,11699,12991,1292
2010,Newfoundland and Labrador,Pulp and Paper Products,5739734,113619928,107880194
2010,Newfoundland and Labrador,Wood-Fabricated Materials,113318,3166278,3052960
2010,Northwest Territories,Pulp and Paper Products,4501,52470,47969
2010,Northwest Territories,Wood-Fabricated Materials,0,13852,13852
2010,Nova Scotia,Primary Wood Products,111286,51227712,51116426
2010,Nova Scotia,Pulp and Paper Products,19323578,652929077,633605499
2010,Nova Scotia,Wood-Fabricated Materials,32466279,93025687,60559408
2010,Nunavut,Pulp and Paper Products,0,293152,293152
2010,Nunavut,Wood-Fabricated Materials,0,2642,2642
2010,Ontario,Primary Wood Products,47606734,57546540,9939806
2010,Ontario,Pulp and Paper Products,3912190305,3342609440,-569580865
2010,Ontario,Wood-Fabricated Materials,1093242380,790535879,-302706501
2010,Prince Edward Island,Primary Wood Products,0,18572,18572
2010,Prince Edward Island,Pulp and Paper Products,7017,7787001,7779984
2010,Prince Edward Island,Wood-Fabricated Materials,76369,130189,53820
2010,Quebec,Primary Wood Products,286948009,49840921,-237107088
