Year,Annee,Jurisdiction,Juridiction,ISO,Forest-Product,Produit-forestier,Unit-of-measure,Unite-de-mesure,Value
2018,2018,Canada,Canada,CA,Newsprint,Papier journal,Tonnes,tonnes,3001000
2018,2018,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,Tonnes,tonnes,3053000
2018,2018,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),Cubic metres,en metre cube,9171114.741
2018,2018,Canada,Canada,CA,Total Oriented Strandboard,Panneaux de particules orientees total,Cubic metres,en metre cube,7428744.525
2018,2018,Canada,Canada,CA,Total Plywood,Contreplaques total,Cubic metres,en metre cube,1742370.217
2018,2018,Canada,Canada,CA,Wood pulp,Pate de bois,Tonnes,tonnes,16183000
2019,2019,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,Cubic metres,en metre cube,1032100
2019,2019,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,Cubic metres,en metre cube,56659300
2019,2019,Canada,Canada,CA,Newsprint,Papier journal,Tonnes,tonnes,2678000
2019,2019,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,Tonnes,tonnes,2612000
2019,2019,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),Cubic metres,en metre cube,8453459.969
2019,2019,Canada,Canada,CA,Total Oriented Strandboard,Panneaux de particules orientees total,Cubic metres,en metre cube,6752680.103
2019,2019,Canada,Canada,CA,Total Plywood,Contreplaques total,Cubic metres,en metre cube,1700779.866
2019,2019,Canada,Canada,CA,Wood pulp,Pate de bois,Tonnes,tonnes,15421000
2020,2020,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,Cubic metres,en metre cube,997200
2020,2020,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,Cubic metres,en metre cube,54718300
2020,2020,Canada,Canada,CA,Newsprint,Papier journal,Tonnes,tonnes,1957000
2020,2020,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,Tonnes,tonnes,2266000
2020,2020,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),Cubic metres,en metre cube,8301256.985
2020,2020,Canada,Canada,CA,Total Oriented Strandboard,Panneaux de particules orientees total,Cubic metres,en metre cube,6628793.953
2020,2020,Canada,Canada,CA,Total Plywood,Contreplaques total,Cubic metres,en metre cube,1672463.032
2020,2020,Canada,Canada,CA,Wood pulp,Pate de bois,Tonnes,tonnes,14299000
2021,2021,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,Cubic metres,en metre cube,880100
2021,2021,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,Cubic metres,en metre cube,55841700
2021,2021,Canada,Canada,CA,Newsprint,Papier journal,Tonnes,tonnes,1888000
2021,2021,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,Tonnes,tonnes,2434000
2021,2021,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),Cubic metres,en metre cube,8938385.759
2021,2021,Canada,Canada,CA,Total Oriented Strandboard,Panneaux de particules orientees total,Cubic metres,en metre cube,7240260.596
2021,2021,Canada,Canada,CA,Total Plywood,Contreplaques total,Cubic metres,en metre cube,1698125.163
2021,2021,Canada,Canada,CA,Wood pulp,Pate de bois,Tonnes,tonnes,14260000
2022,2022,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,Cubic metres,en metre cube,858800
2022,2022,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,Cubic metres,en metre cube,50552600
2022,2022,Canada,Canada,CA,Newsprint,Papier journal,Tonnes,tonnes,1839000
2022,2022,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,Tonnes,tonnes,2599000
2022,2022,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),Cubic metres,en metre cube,8872903.079
2022,2022,Canada,Canada,CA,Total Oriented Strandboard,Panneaux de particules orientees total,Cubic metres,en metre cube,7269462.331
2022,2022,Canada,Canada,CA,Total Plywood,Contreplaques total,Cubic metres,en metre cube,1603440.748
2022,2022,Canada,Canada,CA,Wood pulp,Pate de bois,Tonnes,tonnes,13583000
